Cluster_name,RA_2000,Dec_2000,l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe/H,MRV,pm RA,pm Dec
Alessi 1,00 53 27,+49 34 11,123.26,-13.3,800,9.82,0.1,8.85,,-184,54,,,6.51,-7.7
Alessi 10,20 04 44,-10 28 47,31.64,-20.98,513,9.23,0.22,8.71,,-183.7,20.4,,,0.7,-7.92
Alessi 11,20 21 24,+18 21 36,59.884,-10.34,,,,,,,24,,,-0.31,-9.64
Alessi 12,20 43 30,+23 46 48,67.41,-11.46,537,8.9,0.08,7.9,,-106.7,60,,,3.75,-4.66
Alessi 13,03 28 12,-35 54 00,237.65,-55.71,110,5.33,0.04,8.72,,-90.9,384,,20.1,36.97,-3.18
Alessi 14,06 30 27,+09 44 28,201.881,-0.175,,,,,,,1.4,,,,
Alessi 15,06 43 04,+01 40 19,210.489,-1.099,,,,,,,0.9,,,,
Alessi 16,06 43 35,+02 10 24,210.102,-0.755,,,,,,,0.5,,,,
Alessi 17,07 35 24,-15 05 30,231.352,2.585,,,,,,,2.5,,,,
Alessi 19,18 19 04,+12 10 48,40.29,12.63,550,8.83,0.04,8.05,,120.3,90,,-5.1,-0.47,-6.97
Alessi 2,04 46 15,+55 13 47,152.29,6.36,501,9.06,0.18,8.6,,55.5,33.6,,,-0.08,0.31
Alessi 20,00 10 33,+58 45 35,117.64,-3.69,450,8.95,0.22,8.22,,-29,36,,,7.48,-2.61
Alessi 21,07 10 47,-09 20 24,223.44,0,500,8.71,0.07,7.47,,0,60,,38.8,-3.65,3.04
Alessi 3,07 16 19,-46 36 36,257.84,-15.37,288,7.64,0.11,8.87,,-76.3,66,,,-11.63,12.61
Alessi 4,10 16 13,-34 21 00,269.894,18.38,,,,,,,40,,,,
Alessi 5,10 43 08,-61 10 11,288.08,-2.05,398,8.46,0.15,7.71,,-14.2,36,,12.8,-14.56,3.77
Alessi 53,06 29 24,+09 10 55,202.26,-0.66,4570,15.78,0.8,8.4,,-52.6,3.5,,,,
Alessi 6,14 40 15,-66 07 12,313.64,-5.53,437,8.79,0.19,8.3,,-42.1,50.4,,,-6.2,-6.22
Alessi 8,15 29 34,-51 13 47,326.49,4.27,575,9.08,0.09,7.92,,42.8,37.2,,,-6.05,-7.01
Alessi 9,17 43 55,-47 10 48,344.13,-9.13,195,6.67,0.07,8.42,,-30.9,168,,-11.6,11.59,-9.72
Alicate 1,03 59 12,+57 14 00,146.262,3.128,4000,16.08,0.67,6.48,,218.3,2,,,,
Alicate 5,09 16 30,-49 43 00,271.51,-0.428,3600,16.5,1.2,7,,-26.9,8,,,,
AM 0430-392,04 32 24,-39 17 36,242.616,-42.958,,,,,,,2,,,,
AM 1353-265,13 56 21,-27 10 00,320.281,33.509,,,,,,,1.3,,,,
Andrews-Lindsay 5,18 44 19,-04 55 48,27.734,-0.667,,,,,,,2.3,,,,
Antalova 1,17 28 55,-31 34 11,355.84,1.64,850,10.42,0.25,8.5,,24.3,26.4,,33,-0.24,-3.75
Antalova 2,17 29 42,-32 32 00,355.172,0.987,,,,,,,3,,,,
Archinal 1,18 54 49,+05 32 54,38.256,1.778,,,,,,,2,,,,
Arp-Madore 2,07 38 46,-33 50 36,248.125,-5.876,13341,14.39,0.57,9.335,,-342,2,,,,
ASCC 1,00 09 35,+62 40 48,118.15,0.19,4000,13.51,0.16,8.25,,13.3,24,,-76.15,-2.07,0.46
ASCC 10,03 27 00,+35 02 24,155.6,-17.79,700,9.53,0.1,8.65,,-213.9,57.6,,,-3.08,-1.01
ASCC 100,19 01 37,+33 34 11,64.37,12.67,350,7.78,0.02,8.01,,76.8,37.2,,-22.89,2.29,-1.51
ASCC 101,19 13 37,+36 19 48,67.99,11.59,350,7.72,0,8.52,,70.3,43.2,,,0.81,1.87
ASCC 102,19 24 50,+29 57 00,63.27,6.64,1500,10.88,0,8.79,,173.4,21.6,,,-0.41,-2.45
ASCC 103,19 36 10,+35 40 11,69.48,7.22,700,9.23,0,8.37,,88,43.2,,,-1.35,-2.3
ASCC 104,19 38 52,+18 41 24,54.9,-1.55,800,10.54,0.33,7.71,,-21.6,57.6,,-5.65,-0.09,-4.65
ASCC 105,19 41 45,+27 22 47,62.78,2.16,500,8.77,0.09,8,,18.8,72,,-18.75,0.91,-3.76
ASCC 106,19 43 08,+01 36 00,40.34,-10.73,500,9.58,0.35,8.42,,-93.1,79.2,,,-1.16,-2.74
ASCC 107,19 48 32,+21 57 35,58.86,-1.89,700,9.85,0.2,8.41,,-23.1,13.2,,-7,0.89,-4.48
ASCC 108,19 53 49,+39 22 11,74.45,5.99,1100,10.36,0.05,8.64,,114.8,26.4,,,-0.21,-0.81
ASCC 109,19 53 59,+34 34 48,70.33,3.51,450,8.27,0,8.31,,27.6,60,,,0.47,-2.23
ASCC 11,03 32 16,+44 50 24,150.56,-9.24,650,9.53,0.15,8.61,,-104.4,42,,-3.45,0.15,-5.01
ASCC 110,20 02 59,+33 34 11,70.45,1.4,800,9.98,0.15,8.75,,19.5,27.6,,-20.5,0.6,-4.41
ASCC 111,20 11 13,+37 27 00,74.62,2.08,1600,11.95,0.3,7.05,,58.1,66,,-14.24,-0.45,-3.9
ASCC 112,20 16 26,+52 05 59,87.47,9.3,550,8.95,0.08,8.15,,88.9,26.4,,,-0.37,-0.73
ASCC 113,21 12 00,+38 35 59,82.88,-6.65,450,8.27,0,8.14,,-52.1,56.4,,,1.04,-4.22
ASCC 114,21 40 01,+53 58 12,97.07,1,550,9.51,0.26,7.75,,9.6,19.2,,-22,-3.62,-3.38
ASCC 115,21 56 52,+51 28 47,97.45,-2.54,600,9.36,0.15,8.59,,-26.6,19.2,,-9,0.15,-1.28
ASCC 116,21 58 33,+54 29 24,99.49,-0.32,5000,15.08,0.51,7.03,,-27.9,21.6,,-30.6,-3.51,-4.74
ASCC 117,22 04 58,+62 16 12,104.85,5.39,1200,11.33,0.3,6.67,,112.7,42,,-11.39,-2.31,0.03
ASCC 118,22 08 23,+61 05 59,104.48,4.21,900,10.7,0.3,7.02,,66.1,25.2,,-42,-2.19,-4.03
ASCC 119,22 19 11,+46 54 00,97.73,-8.39,1000,10.31,0.1,8.83,,-145.9,25.2,,,-6.15,-6.06
ASCC 12,04 49 55,+41 43 47,163.03,-1.86,500,8.96,0.15,8.42,,-16.2,30,,,-0.62,-1.86
ASCC 120,22 30 36,+57 12 35,104.73,-0.6,2500,13.91,0.62,7.08,,-26.2,36,,-60.79,-2.99,-1.54
ASCC 121,22 30 43,+54 54 00,103.56,-2.59,2500,12.92,0.3,7.73,,-113,27.6,,-64.3,-2.49,-0.7
ASCC 122,22 33 14,+39 36 36,95.91,-15.9,700,9.53,0.1,6.98,,-191.8,86.4,,-8.17,-0.29,-4.19
ASCC 123,22 42 35,+54 15 35,104.74,-4,250,7.3,0.1,8.41,,-17.4,153.6,,-6.46,12.5,-1.06
ASCC 124,22 48 07,+46 15 00,101.73,-11.48,600,9.36,0.15,8.48,,-119.4,36,,,1.34,-2.41
ASCC 125,22 56 16,+62 45 00,110.17,2.76,1500,13.08,0.71,7.01,,72.2,66,,-17.93,-2.23,-3.44
ASCC 126,23 06 17,+51 02 59,106.58,-8.46,800,9.82,0.1,7.26,,-117.7,36,,-12.69,-0.66,-3.01
ASCC 127,23 08 23,+64 50 59,112.26,4.13,350,8.03,0.1,7.82,,25.2,86.4,,-8.24,6.89,-2.23
ASCC 128,23 20 34,+54 35 59,109.93,-5.96,900,10.17,0.13,8.44,,-93.5,42,,,-1.08,-1.57
ASCC 129,23 28 01,+55 35 59,111.27,-5.37,1000,10.56,0.18,8.69,,-93.6,25.2,,,-1.07,-4.12
ASCC 13,05 13 19,+44 34 48,163.4,3.26,800,10.14,0.2,7.71,,45.5,84,,-7.3,-0.75,-1.66
ASCC 130,23 52 47,+62 26 23,116.2,0.33,3400,14.27,0.52,7.03,,19.6,18,,,-1.22,0.35
ASCC 14,05 20 31,+35 13 12,171.83,-1.03,1100,10.77,0.18,8.61,,-19.8,26.4,,-16.87,-0.91,-5.98
ASCC 15,05 22 37,+36 32 59,170.98,0.07,1400,11.6,0.28,8.6,,1.7,24,,,-0.08,-6.58
ASCC 16,05 24 35,+01 47 59,200.98,-18.35,460,8.59,0.09,6.93,,-144.8,74.4,,0.75,0.75,-0.18
ASCC 17,05 25 12,+30 10 12,176.56,-3.08,2000,12.5,0.32,7.12,,-107.5,30,,-16,1.33,-6.39
ASCC 18,05 26 09,+00 49 12,202.08,-18.49,500,8.68,0.06,7.12,,-158.6,74.4,,13.39,0.89,-0.02
ASCC 19,05 27 46,-01 58 48,204.88,-19.47,350,7.75,0.01,7.64,,-116.7,96,,19.3,0.61,-0.68
ASCC 2,00 19 51,+55 42 35,118.46,-6.89,1200,10.71,0.1,8.83,,-144,36,,,-0.91,-3.94
ASCC 20,05 28 44,+01 37 47,201.67,-17.53,450,8.39,0.04,7.35,,-135.5,90,,17.62,-0.09,0.51
ASCC 21,05 28 58,+03 39 00,199.86,-16.49,500,8.59,0.03,7.11,,-141.9,96,,19.9,0.52,-0.62
ASCC 22,06 14 31,+00 38 23,208.12,-7.92,1500,11.5,0.2,8.42,,-206.7,21.6,,,-5.01,-3.88
ASCC 23,06 20 20,+46 40 11,167.52,14.42,600,9.11,0.07,8.45,,149.4,43.2,,,1.31,-0.59
ASCC 24,06 28 44,-07 01 11,216.64,-8.23,400,8.44,0.14,6.96,,-57.3,42,,16.35,-5.55,-4.05
ASCC 25,06 45 32,+24 36 00,190.18,9.72,1400,11.23,0.16,8.86,,236.4,25.2,,21.5,0.96,-3.26
ASCC 26,06 50 24,+07 15 00,206.35,3.06,800,9.92,0.13,8.09,,42.7,20.4,,8,-3.05,-0.5
